G1,G2,G3,G4,G5,G6,G7,G8,G9
0.4254475,0.0178292,0.9079888,0.4482474,0.8970564,0.0483745,1.0862,0.6630101,1.0408291
0.4424002,0.0505248,0.8693676,0.4458513,0.9103214,0.0246991,0.9768792,0.6817208,0.914591
1.056847,0.2084539,0.4674478,0.5050774,0.9155847,0.0241226,0.8457994,0.5042358,0.6806808
1.1172264,0.003001,0.3176543,0.3872039,0.8095028,0.0568316,1.0215215,0.8734011,1.0867244
0.9710677,0.0010565,0.3546514,0.4745322,0.8255171,0.026345,1.0665032,0.6898282,0.8136811
1.1393856,0.1220468,0.4024654,0.3484362,0.4472957,0.2889399,0.9699579,0.8957111,1.1865111
1.0648694,0.1405077,0.4817628,0.4748571,0.4586232,0.0798196,0.953177,0.899061,1.041566
0.8761173,0.073814,1.0582917,0.7303661,0.9306545,0.0185231,0.8269741,0.2327868,0.6557757
1.2059661,0.153407,0.7608608,0.6558457,0.9697082,0.0468642,1.0670856,0.0875843,0.4705392
1.0006755,0.0789863,0.8036309,0.8389751,0.8681003,0.0160425,1.1289511,0.1756917,0.6290681
0.9281863,0.2271246,0.7029089,0.8676085,0.6512215,0.1475439,1.0176313,0.4730218,0.6144167
0.9475879,0.2123334,0.6092454,0.7961024,0.5312978,0.1023092,0.9339871,0.3670419,0.5580246
1.2120485,0.1869473,0.7610268,0.8279157,0.5452222,0.0837988,1.0581591,0.3382789,0.5743798
1.0031722,0.3335391,0.7719871,0.5727357,0.5111025,0.147364,0.9635269,0.7555032,0.5499632
0.7380234,0.3359326,0.7202104,0.6682921,0.7267244,0.1103449,0.8931265,0.4182061,0.6500597
1.1444865,0.3263513,0.7855868,0.6948453,0.5129786,0.1872311,1.0392379,0.5427231,0.6709292
0.9060527,0.0031717,0.5032477,0.5166624,0.6337199,0.1315326,0.9712346,0.5617567,0.9862735
0.8378234,0.0281437,0.4885049,0.4821149,0.6899516,0.0909052,1.0232679,0.6290079,1.1002603
0.9482875,0.0968644,0.4000698,0.5010464,0.4077139,0.2637129,0.9116064,0.8625113,0.8423347
1.1156667,0.1273558,0.2975808,0.5467995,0.4230729,0.1811193,1.040473,0.9555603,0.8812169
0.9751999,0.4616184,0.5937506,0.4715883,0.7118447,0.1052386,1.0267687,0.8713999,0.9770472
0.7811174,0.0021858,0.861754,0.4305457,0.5157686,0.1795553,0.9005507,1.0839316,0.9917997
0.6665241,0.0009788,0.8467381,0.4068847,0.5149687,0.258465,0.8230568,0.9519054,1.0545376
0.8884722,0.034803,0.6660509,1.0446866,0.9058255,0.0904662,0.9999913,0.5531564,0.3831116
0.9448215,0.2792897,0.612167,0.4667139,0.8948932,0.0116391,0.9890993,0.8175531,0.9560583
1.0757371,0.1131838,0.5522932,0.4546237,0.9164223,0.0450094,1.0870238,0.9471641,1.1096941
0.2824543,0.0001905,0.8792526,0.4629786,0.6865453,0.0254141,1.0287593,0.7783027,0.9627682
0.3146747,0.0039318,0.902473,0.389754,0.6229771,0.0355573,0.9160194,0.7661818,1.0126146
1.0705054,0.0019976,0.3394191,0.5782136,0.7878424,0.0604188,0.8808817,0.8211836,0.9381882
1.102135,0.0024671,0.410364,0.3448656,0.9298679,0.058831,1.0429964,0.89446,1.0596765
0.9057386,0.0467783,0.3137284,0.4516188,0.7508126,0.0375625,0.9033545,0.6578977,0.9154658
1.0381471,0.1038999,0.3471801,0.4169408,0.7268936,0.0795218,0.8418925,0.6228511,1.0473497
1.0688021,0.0890336,0.4140499,0.4301918,0.7613028,0.043096,1.0202456,0.5983272,0.9659631
0.8530157,0.3955805,0.6325964,0.3132031,0.6418138,0.1581953,1.0479229,1.042144,1.0991229
0.9224801,0.4473381,0.4166944,0.3454326,0.5946013,0.1882625,1.2393696,0.8711082,0.9816949
0.8613289,0.0415116,0.7298012,0.348028,0.6271503,0.1326631,0.9232536,0.4956469,1.072991
0.7638212,0.3351981,0.8123124,0.3426616,0.8515946,0.1625829,0.6332221,1.1051652,1.1275961
